event_id,timestamp,source_ip,destination_ip,event_type,protocol,username,source_country,destination_country,device_name,os,event_status,severity,failed_login_attempts,malware_detected,vulnerability_id,cvss_score,asset_name,department,technique_id,technique_name,tactic,threat_confidence,risk_level,year,month,day,hour,day_of_week,is_weekend,severity_score,malware_flag,status_flag,login_risk
EVT000001,2025-08-03 08:10:00,168.107.116.229,10.0.5.208,Privilege Escalation,SSH,john,India,India,Device-98,Linux,Failed,High,0,No,CVE-2023-1234,5.4,WebServer,IT,T1068,Exploitation for Privilege Escalation,Privilege Escalation,49,Medium,2025,8,3,8,Sunday,True,3,0,0,Low
EVT000002,2025-08-06 22:35:00,107.226.86.101,10.0.8.177,File Access,HTTPS,admin,India,India,Device-156,Windows 11,Failed,High,0,No,CVE-2024-1045,9.5,Finance-PC-02,Finance,T1083,File and Directory Discovery,Discovery,58,High,2025,8,6,22,Wednesday,False,3,0,0,Low
EVT000003,2025-08-05 13:45:00,146.71.72.195,10.0.3.177,SQL Injection Attempt,HTTP,alex,India,India,Device-150,,Blocked,Low,0,No,CVE-2024-2201,5.9,Firewall,IT,T1190,Exploit Public-Facing Application,Initial Access,20,Low,2025,8,5,13,Tuesday,False,1,0,1,Low
EVT000004,2025-08-04 17:45:00,16.132.105.97,10.0.4.196,SQL Injection Attempt,TCP,david,India,India,Device-49,Linux,Blocked,Critical,0,No,CVE-2024-2201,5.9,WebServer,IT,T1190,Exploit Public-Facing Application,Initial Access,71,High,2025,8,4,17,Monday,False,4,0,1,Low
EVT000005,2025-08-01 23:20:00,44.107.126.164,10.0.6.41,SQL Injection Attempt,HTTPS,john,India,India,Device-187,Windows 11,Blocked,High,0,No,CVE-2023-1234,5.4,HR-PC-01,HR,T1190,Exploit Public-Facing Application,Initial Access,53,Medium,2025,8,1,23,Friday,False,3,0,1,Low
EVT000006,2025-08-01 23:20:00,211.14.126.162,10.0.3.240,Privilege Escalation,HTTPS,alice,India,India,Device-42,,Failed,Medium,0,No,CVE-2024-2201,5.9,Firewall,IT,T1068,Exploitation for Privilege Escalation,Privilege Escalation,41,Medium,2025,8,1,23,Friday,False,2,0,0,Low
EVT000007,2025-08-01 08:40:00,116.143.245.117,10.0.4.252,Privilege Escalation,HTTP,alice,India,India,Device-186,Windows 11,Detected,Low,0,No,CVE-2024-1045,9.5,HR-PC-01,HR,T1068,Exploitation for Privilege Escalation,Privilege Escalation,13,Low,2025,8,1,8,Friday,False,1,0,1,Low
EVT000008,2025-08-06 09:55:00,188.149.158.160,10.0.4.180,Login Success,TCP,admin,India,India,Device-153,Linux,Detected,High,19,No,CVE-2023-1234,5.4,WebServer,IT,T1078,Valid Accounts,Defense Evasion,72,High,2025,8,6,9,Wednesday,False,3,0,1,High
EVT000009,2025-08-04 18:10:00,82.226.86.113,10.0.7.128,Login Success,SMB,alice,India,India,Device-18,Linux,Blocked,High,19,No,CVE-2024-1045,9.5,Database-01,IT,T1078,Valid Accounts,Defense Evasion,65,High,2025,8,4,18,Monday,False,3,0,1,High
EVT000010,2025-08-05 10:10:00,219.2.180.107,10.0.6.241,Privilege Escalation,SMB,david,India,India,Device-56,,Blocked,High,0,No,CVE-2024-2201,5.9,Firewall,IT,T1068,Exploitation for Privilege Escalation,Privilege Escalation,49,Medium,2025,8,5,10,Tuesday,False,3,0,1,Low
EVT000011,2025-08-01 03:05:00,157.157.4.68,10.0.4.164,Malware Detection,SSH,admin,India,India,Device-90,,Success,Medium,12,No,CVE-2024-2201,5.9,Firewall,IT,T1059,Command and Scripting Interpreter,Execution,51,Medium,2025,8,1,3,Friday,False,2,0,0,High
EVT000012,2025-08-07 01:25:00,77.229.13.177,10.0.8.214,Failed Login,HTTPS,alex,India,India,Device-114,,Detected,High,0,Yes,CVE-2024-2201,5.9,Firewall,IT,T1078,Valid Accounts,Defense Evasion,70,High,2025,8,7,1,Thursday,False,3,1,1,Low
EVT000013,2025-08-06 04:50:00,191.221.73.199,10.0.6.125,USB Device Connected,TCP,alex,India,India,Device-110,Linux,Success,High,0,No,CVE-2024-1045,9.5,WebServer,IT,T1200,Hardware Additions,Initial Access,57,High,2025,8,6,4,Wednesday,False,3,0,0,Low
EVT000014,2025-08-02 07:50:00,17.162.111.128,10.0.5.176,Phishing Email,TCP,alice,India,India,Device-152,Windows 11,Blocked,Low,12,Yes,CVE-2023-1234,5.4,Finance-PC-02,Finance,T1566,Phishing,Initial Access,46,Medium,2025,8,2,7,Saturday,True,1,1,1,High
EVT000015,2025-08-02 03:15:00,58.163.179.45,10.0.5.96,SQL Injection Attempt,HTTP,admin,India,India,Device-146,,Success,Low,0,Yes,CVE-2024-2201,5.9,Firewall,IT,T1190,Exploit Public-Facing Application,Initial Access,31,Medium,2025,8,2,3,Saturday,True,1,1,0,Low
EVT000016,2025-08-02 03:30:00,211.163.156.28,10.0.7.182,Brute Force,TCP,alice,India,India,Device-164,Windows 11,Failed,Medium,17,No,CVE-2023-1234,5.4,Finance-PC-02,Finance,T1110,Brute Force,Credential Access,55,Medium,2025,8,2,3,Saturday,True,2,0,0,High
EVT000017,2025-08-02 21:35:00,189.152.64.248,10.0.9.200,Login Success,SMB,root,India,India,Device-172,,Failed,Medium,0,No,CVE-2024-1045,9.5,Firewall,IT,T1078,Valid Accounts,Defense Evasion,36,Medium,2025,8,2,21,Saturday,True,2,0,0,Low
EVT000018,2025-08-04 06:40:00,25.3.223.41,10.0.10.106,Brute Force,TCP,root,India,India,Device-196,Windows 11,Blocked,Low,0,No,CVE-2024-1045,9.5,HR-PC-01,HR,T1110,Brute Force,Credential Access,13,Low,2025,8,4,6,Monday,False,1,0,1,Low
EVT000019,2025-08-03 16:45:00,90.136.147.13,10.0.3.141,File Access,HTTPS,john,India,India,Device-85,Linux,Failed,Medium,6,No,CVE-2024-1045,9.5,Database-01,IT,T1083,File and Directory Discovery,Discovery,49,Medium,2025,8,3,16,Sunday,True,2,0,0,High
EVT000020,2025-08-02 19:40:00,14.148.232.12,10.0.0.92,USB Device Connected,SMB,david,India,India,Device-76,,Success,High,0,No,CVE-2023-1234,5.4,Firewall,IT,T1200,Hardware Additions,Initial Access,53,Medium,2025,8,2,19,Saturday,True,3,0,0,Low
EVT000021,2025-08-04 19:45:00,108.122.194.213,10.0.3.44,SQL Injection Attempt,SMB,alex,India,India,Device-54,Windows 11,Detected,High,0,No,CVE-2024-1045,9.5,Finance-PC-02,Finance,T1190,Exploit Public-Facing Application,Initial Access,54,Medium,2025,8,4,19,Monday,False,3,0,1,Low
EVT000022,2025-08-01 20:55:00,138.102.217.236,10.0.5.176,Phishing Email,TCP,admin,India,India,Device-24,Windows 11,Blocked,Critical,0,No,CVE-2024-2201,5.9,Finance-PC-02,Finance,T1566,Phishing,Initial Access,70,High,2025,8,1,20,Friday,False,4,0,1,Low
EVT000023,2025-08-02 19:45:00,107.201.220.161,10.0.6.44,USB Device Connected,HTTPS,admin,India,India,Device-151,Linux,Failed,Low,14,No,CVE-2024-1045,9.5,Database-01,IT,T1200,Hardware Additions,Initial Access,29,Low,2025,8,2,19,Saturday,True,1,0,0,High
EVT000024,2025-08-03 06:55:00,127.53.199.76,10.0.2.188,Failed Login,TCP,john,India,India,Device-129,Linux,Detected,High,0,No,CVE-2024-2201,5.9,WebServer,IT,T1078,Valid Accounts,Defense Evasion,60,High,2025,8,3,6,Sunday,True,3,0,1,Low
EVT000025,2025-08-03 20:20:00,43.129.10.224,10.0.7.43,SQL Injection Attempt,HTTP,alice,India,India,Device-118,,Success,Critical,0,Yes,CVE-2024-2201,5.9,Firewall,IT,T1190,Exploit Public-Facing Application,Initial Access,86,Critical,2025,8,3,20,Sunday,True,4,1,0,Low
