indicator_id,indicator_type,indicator_value,threat_name,threat_actor,confidence,severity
IOC001,IP Address,16.132.105.97,Web App Exploitation Campaign,Unknown,Critical,Critical
IOC002,IP Address,138.102.217.236,Phishing Campaign,Unknown,High,Critical
IOC003,IP Address,43.129.10.224,Web App Exploitation Campaign,Unknown,High,Critical
IOC004,IP Address,101.183.91.182,Malware Distribution Network,Unknown,Critical,Critical
IOC005,IP Address,95.25.88.81,Web App Exploitation Campaign,Unknown,High,Critical
IOC006,IP Address,85.164.190.238,Phishing Campaign,Unknown,High,Critical
IOC007,IP Address,94.137.83.213,Malware Distribution Network,Unknown,High,Critical
IOC008,IP Address,116.143.245.117,Malware Distribution Network,Unknown,High,Critical
IOC009,IP Address,101.40.211.168,Insider/Priv-Esc Toolkit,Unknown,Critical,Critical
IOC010,IP Address,9.219.212.91,Web App Exploitation Campaign,Unknown,High,Critical
IOC011,IP Address,92.144.110.238,Credential Stuffing Campaign,Unknown,Critical,Critical
IOC012,IP Address,69.218.182.251,Insider/Priv-Esc Toolkit,Unknown,Critical,Critical
IOC013,IP Address,97.4.100.18,Insider/Priv-Esc Toolkit,Unknown,Critical,Critical
IOC014,IP Address,182.97.36.91,Insider/Priv-Esc Toolkit,Unknown,High,Critical
IOC015,IP Address,14.148.232.12,Malware Distribution Network,Unknown,Critical,Critical
IOC016,IP Address,84.59.25.178,Phishing Campaign,Unknown,High,Critical
IOC017,IP Address,134.188.137.57,Credential Stuffing Campaign,Unknown,High,Critical
IOC018,IP Address,91.94.252.157,Phishing Campaign,Unknown,High,Critical
IOC019,IP Address,63.237.37.214,Credential Stuffing Campaign,Unknown,High,Critical
IOC020,IP Address,93.181.229.132,Credential Stuffing Campaign,Unknown,High,Critical
IOC0021,IP Address,13.165.44.168,Trojan,Emotet,Low,Medium
IOC0022,IP Address,179.17.64.139,Supply Chain Compromise,LockBit,Medium,Medium
IOC0023,IP Address,213.167.44.31,Data Exfiltration,Unknown,Medium,Medium
IOC0024,Domain,update-5548.info,Backdoor,Hive,Low,High
IOC0025,Email Address,billing623@service-2038.com,Data Exfiltration,APT29,Low,Low
IOC0026,File Hash (SHA256),59bc3d8bfd97cd02abca5e5001a8b1a41030a73ac7e2178bbca707dfce4fe33a,Info Stealer,APT29,High,Medium
IOC0027,URL,http://secure-6293.info/api/v1/payload.bin,Botnet Recruitment,Unknown,Low,Low
IOC0028,IP Address,56.131.16.78,Malware Download,Conti,High,High
IOC0029,URL,http://service-7782.net/api/v1/payload.bin,Backdoor,Unknown,Medium,Medium
IOC0030,IP Address,83.181.101.23,DDoS Botnet,Unknown,High,Medium
IOC0031,File Hash (SHA256),ba5342a173ab82c58746b16fc75ab2938b3cfc1a4486b7281b5c9281f451e05d,Phishing Campaign,FIN7,Low,Medium
IOC0032,File Hash (SHA256),1a84bbc9f9906d3b14eb771c9440e2bf1d1bc94e777daf263e021abca476aa35,Phishing Campaign,Unknown,Medium,High
IOC0033,IP Address,20.62.237.196,Supply Chain Compromise,TeamTNT,Low,Critical
IOC0034,IP Address,217.125.35.175,Cryptominer,Unknown,Critical,High
IOC0035,IP Address,95.186.167.55,Credential Stuffing Campaign,APT28,Low,High
IOC0036,Domain,service-1342.com,Ransomware,Unknown,High,Medium
IOC0037,IP Address,163.106.31.82,Botnet Recruitment,Unknown,Medium,High
IOC0038,File Hash (SHA256),f8cfd179627b15d12a153c9fbd8272459d2b0a08759272b15f67a2568dff7c98,Credential Stuffing Campaign,Unknown,Low,Medium
