vulnerability_id,cve_id,vulnerability_name,severity,cvss_score,affected_asset,patch_available,status
VUL001,CVE-2024-1045,Privilege Escalation Flaw,Critical,9.5,Database-01,Yes,Open
VUL002,CVE-2023-1234,Improper Input Validation,Medium,5.4,Finance-PC-02,Yes,Open
VUL003,CVE-2024-2201,Information Disclosure,Medium,5.9,WebServer,No,Open
VUL004,CVE-2024-3390,SQL Injection Vulnerability,High,8.2,WebServer,Yes,Open
VUL005,CVE-2023-4521,Outdated Firewall Firmware,High,7.5,Firewall,No,Open
VUL006,CVE-2024-0099,Weak SMB Configuration,Medium,6.1,HR-PC-01,Yes,Patched
VUL0007,CVE-2019-10489,Path Traversal,Medium,6.9,IT-WKS-008,Yes,Open
VUL0008,CVE-2023-29919,Buffer Overflow,High,8.2,SALES-LAP-013,Yes,Open
VUL0009,CVE-2022-25880,Information Disclosure,Medium,5.1,SUP-LAP-003,No,Mitigated
VUL0010,CVE-2022-48004,Authentication Bypass,Critical,9.3,ENG-CLD-002,No,Open
VUL0011,CVE-2023-25451,Privilege Escalation Flaw,Critical,9.1,SALES-NET-001,No,Open
VUL0012,CVE-2019-42180,Remote Code Execution,Critical,9.2,HR-CLD-003,Yes,Open
VUL0013,CVE-2019-42168,Hardcoded Credentials,Medium,6.8,SALES-WKS-005,No,Open
VUL0014,CVE-2022-37265,Privilege Escalation Flaw,High,8.4,SALES-LAP-002,Yes,Open
VUL0015,CVE-2020-2665,Improper Input Validation,Medium,5.7,MKT-SRV-004,Yes,Open
VUL0016,CVE-2022-8159,Path Traversal,Medium,6.1,HR-WKS-011,Yes,Accepted Risk
VUL0017,CVE-2019-42353,Authentication Bypass,High,8.8,SALES-LAP-010,Yes,Patched
VUL0018,CVE-2021-29315,Improper Input Validation,Medium,6.9,SALES-WKS-006,Yes,Open
VUL0019,CVE-2020-4767,Insecure Deserialization,High,7.3,FIN-SRV-010,Yes,Mitigated
VUL0020,CVE-2021-34474,Privilege Escalation Flaw,High,8.4,SALES-CLD-004,Yes,Open
VUL0021,CVE-2019-27800,Authentication Bypass,High,8.1,MKT-SRV-001,Yes,Open
VUL0022,CVE-2025-16100,Information Disclosure,Medium,4.5,HR-SRV-002,No,Mitigated
VUL0023,CVE-2024-33471,Improper Input Validation,Medium,4.5,HR-NET-002,Yes,Patched
VUL0024,CVE-2025-13594,Insecure Deserialization,High,7.4,ENG-CLD-001,Yes,Patched
VUL0025,CVE-2025-48294,Cross-Site Scripting (XSS),Medium,5.5,IT-SRV-005,Yes,Mitigated
VUL0026,CVE-2025-33310,Remote Code Execution,High,8.5,FIN-WKS-018,Yes,Mitigated
VUL0027,CVE-2021-17275,Information Disclosure,Medium,5.4,HR-WKS-009,Yes,Patched
VUL0028,CVE-2023-39987,SQL Injection Vulnerability,High,8.0,HR-SRV-003,No,Open
VUL0029,CVE-2021-47831,Denial of Service,High,7.0,OPS-WKS-010,No,Mitigated
VUL0030,CVE-2023-5011,Insecure Deserialization,High,8.7,MKT-NET-006,Yes,Patched
VUL0031,CVE-2023-36214,Privilege Escalation Flaw,High,7.5,HR-WKS-002,Yes,Open
VUL0032,CVE-2019-21441,Improper Input Validation,Medium,5.6,FIN-SRV-002,Yes,Mitigated
VUL0033,CVE-2024-13785,Improper Input Validation,Medium,4.1,OPS-WKS-020,Yes,Patched
VUL0034,CVE-2020-47048,Cross-Site Request Forgery (CSRF),Medium,4.3,SALES-MOB-001,No,Open
VUL0035,CVE-2019-31464,Weak SMB Configuration,Medium,6.2,FIN-CLD-005,Yes,Open
VUL0036,CVE-2022-9975,Unpatched Third-Party Library,High,7.0,FIN-NET-001,Yes,Patched
VUL0037,CVE-2024-26992,Information Disclosure,Medium,6.4,FIN-SRV-001,No,Open
VUL0038,CVE-2022-40127,Outdated TLS/SSL Configuration,Medium,4.1,HR-NET-001,No,Open
VUL0039,CVE-2020-22959,Server-Side Request Forgery (SSRF),High,8.1,IT-SRV-009,No,Mitigated
VUL0040,CVE-2025-27253,Unpatched Third-Party Library,Medium,5.6,SALES-CLD-003,Yes,Patched
VUL0041,CVE-2021-17337,Server-Side Request Forgery (SSRF),High,7.7,LEG-CLD-001,Yes,Patched
VUL0042,CVE-2019-22256,Server-Side Request Forgery (SSRF),Medium,6.5,FIN-MOB-007,Yes,Open
VUL0043,CVE-2022-30735,Cross-Site Scripting (XSS),Medium,6.3,HR-CLD-001,Yes,Patched
VUL0044,CVE-2021-45462,Improper Input Validation,Medium,5.8,SUP-LAP-001,Yes,Open
VUL0045,CVE-2023-1895,Server-Side Request Forgery (SSRF),Medium,6.6,LEG-WKS-001,Yes,Open
VUL0046,CVE-2024-11943,Buffer Overflow,High,7.2,FIN-NET-003,No,Open
VUL0047,CVE-2023-35985,Privilege Escalation Flaw,High,8.4,HR-CLD-004,Yes,Open
VUL0048,CVE-2022-38836,Insecure Deserialization,High,7.5,OPS-NET-001,Yes,Patched
VUL0049,CVE-2025-30762,Denial of Service,Medium,6.6,MKT-SRV-002,Yes,Open
VUL0050,CVE-2023-20903,Weak SMB Configuration,Medium,5.9,FIN-SRV-005,Yes,Open
VUL0051,CVE-2020-34583,Unpatched Third-Party Library,Medium,6.5,OPS-CLD-002,Yes,Mitigated
VUL0052,CVE-2020-16633,Path Traversal,Medium,6.4,MKT-SRV-009,Yes,Mitigated
VUL0053,CVE-2020-20366,Cross-Site Scripting (XSS),Medium,6.2,ENG-WKS-003,Yes,Patched
VUL0054,CVE-2021-29834,Cross-Site Scripting (XSS),Medium,5.5,MKT-SRV-007,Yes,Patched
VUL0055,CVE-2023-15756,Privilege Escalation Flaw,High,8.3,SALES-NET-005,Yes,Patched
VUL0056,CVE-2023-41026,Improper Input Validation,Medium,6.4,SALES-CLD-003,Yes,Mitigated
VUL0057,CVE-2025-32145,Improper Input Validation,Medium,6.3,HR-NET-006,Yes,Patched
VUL0058,CVE-2022-7773,SQL Injection Vulnerability,High,8.1,MKT-WKS-012,Yes,Patched
VUL0059,CVE-2023-10806,Server-Side Request Forgery (SSRF),High,8.1,MKT-NET-003,No,Patched
VUL0060,CVE-2022-30640,Cross-Site Request Forgery (CSRF),Medium,4.7,FIN-WKS-008,Yes,Open
VUL0061,CVE-2023-40021,Missing Encryption of Sensitive Data,Medium,6.1,Database-01,No,Mitigated
VUL0062,CVE-2022-25947,Cross-Site Request Forgery (CSRF),Medium,4.8,HR-WKS-015,Yes,Open
