incident_id,event_id,incident_type,assigned_to,status,response_time,resolution
INC0001,EVT004777,Brute Force,SOC Tier 3,In Progress,17 min,Pending review
INC0002,EVT007915,Brute Force,Incident Response Team,In Progress,49 min,Pending review
INC0003,EVT009934,Malware Detection,Incident Response Team,Closed,44 min,"Endpoint isolated, malware removed"
INC0004,EVT002633,Failed Login,SOC Tier 3,Closed,20 min,"Account temporarily locked, user verified"
INC0005,EVT000073,Phishing Email,Incident Response Team,Closed,73 min,"Email quarantined, user notified"
INC0006,EVT000209,Phishing Email,SOC Tier 1,Closed,15 min,"Email quarantined, user notified"
INC0007,EVT007723,Phishing Email,SOC Tier 3,Closed,78 min,"Email quarantined, user notified"
INC0008,EVT001484,Phishing Email,Incident Response Team,In Progress,39 min,Pending review
INC0009,EVT003913,Brute Force,SOC Tier 2,Closed,22 min,Source IP blocked at firewall
INC0010,EVT005340,Failed Login,SOC Tier 3,Closed,10 min,"Account temporarily locked, user verified"
INC0011,EVT004771,SQL Injection Attempt,Incident Response Team,Open,10 min,Pending review
INC0012,EVT003099,Malware Detection,SOC Tier 3,Closed,17 min,"Endpoint isolated, malware removed"
INC0013,EVT003314,Login Success,Incident Response Team,Closed,46 min,"Reviewed, no action required"
INC0014,EVT002529,SQL Injection Attempt,SOC Tier 3,Closed,77 min,"Request blocked, WAF rule updated"
INC0015,EVT009397,SQL Injection Attempt,Incident Response Team,In Progress,73 min,Pending review
INC0016,EVT004757,File Access,Incident Response Team,In Progress,10 min,Pending review
INC0017,EVT008895,File Access,SOC Tier 3,Closed,46 min,"Reviewed, no action required"
INC0018,EVT008964,Port Scan,SOC Tier 2,In Progress,67 min,Pending review
INC0019,EVT002978,SQL Injection Attempt,SOC Tier 2,In Progress,32 min,Pending review
INC0020,EVT007598,Port Scan,SOC Tier 3,Closed,24 min,Source IP flagged and monitored
INC0021,EVT003008,Brute Force,Incident Response Team,Closed,32 min,Source IP blocked at firewall
INC0022,EVT008694,Login Success,SOC Tier 1,Closed,58 min,"Reviewed, no action required"
INC0023,EVT000841,Failed Login,SOC Tier 3,Closed,52 min,"Account temporarily locked, user verified"
INC0024,EVT006813,File Access,SOC Tier 3,Closed,8 min,"Reviewed, no action required"
INC0025,EVT008266,Port Scan,SOC Tier 1,In Progress,54 min,Pending review
INC0026,EVT009793,Failed Login,SOC Tier 1,In Progress,45 min,Pending review
INC0027,EVT004056,Brute Force,SOC Tier 1,Open,16 min,Pending review
INC0028,EVT005639,File Access,SOC Tier 1,Open,56 min,Pending review
INC0029,EVT008532,Brute Force,SOC Tier 2,Closed,75 min,Source IP blocked at firewall
INC0030,EVT000937,USB Device Connected,SOC Tier 1,Closed,43 min,"Device inspected, no threat found"
INC0031,EVT009237,Privilege Escalation,SOC Tier 2,Closed,12 min,"Access revoked, account access reviewed"
