mitre_id,technique_name,tactic,platforms,is_subtechnique
T1055.011,Extra Window Memory Injection,Privilege Escalation; Stealth,Windows,True
T1053.005,Scheduled Task,Execution; Persistence; Privilege Escalation,Windows,True
T1205.002,Socket Filters,Command And Control; Persistence; Stealth,Linux; macOS; Windows,True
T1560.001,Archive via Utility,Collection,Linux; macOS; Windows,True
T1021.005,VNC,Lateral Movement,Linux; Windows; macOS,True
T1047,Windows Management Instrumentation,Execution,Windows,False
T1687,Exploitation for Defense Impairment,Defense Impairment,IaaS; Linux; macOS; SaaS; Windows,False
T1113,Screen Capture,Collection,Linux; macOS; Windows,False
T1027.011,Fileless Storage,Stealth,Linux; Windows,True
T1037,Boot or Logon Initialization Scripts,Persistence; Privilege Escalation,ESXi; Linux; macOS; Network Devices; Windows,False
T1557,Adversary-in-the-Middle,Collection; Credential Access,Linux; macOS; Network Devices; Windows,False
T1033,System Owner/User Discovery,Discovery,Linux; macOS; Network Devices; Windows,False
T1583,Acquire Infrastructure,Resource Development,PRE,False
T1218.011,Rundll32,Stealth,Windows,True
T1613,Container and Resource Discovery,Discovery,Containers,False
T1583.007,Serverless,Resource Development,PRE,True
T1132.001,Standard Encoding,Command And Control,ESXi; Linux; macOS; Windows,True
T1027.009,Embedded Payloads,Stealth,Linux; macOS; Windows,True
T1556.003,Pluggable Authentication Modules,Credential Access; Defense Impairment; Persistence,Linux; macOS,True
T1578.004,Revert Cloud Instance,Defense Impairment,IaaS,True
T1592,Gather Victim Host Information,Reconnaissance,PRE,False
T1596.003,Digital Certificates,Reconnaissance,PRE,True
T1056.001,Keylogging,Collection; Credential Access,Linux; macOS; Network Devices; Windows,True
T1564.012,File/Path Exclusions,Stealth,Linux; macOS; Windows,True
T1222.002,Linux and Mac Permissions,Defense Impairment,Linux; macOS,True
T1110.001,Password Guessing,Credential Access,Containers; ESXi; IaaS; Identity Provider; Linux; macOS; Network Devices; Office Suite; SaaS; Windows,True
T1216.001,PubPrn,Stealth,Windows,True
T1597.002,Purchase Technical Data,Reconnaissance,PRE,True
T1003,OS Credential Dumping,Credential Access,Linux; macOS; Windows,False
T1129,Shared Modules,Execution,Linux; macOS; Windows,False
T1602,Data from Configuration Repository,Collection,Network Devices,False
T1561.002,Disk Structure Wipe,Impact,Linux; macOS; Network Devices; Windows,True
T1498.001,Direct Network Flood,Impact,Windows; IaaS; Linux; macOS,True
T1574.007,Path Interception by PATH Environment Variable,Execution; Stealth,Linux; macOS; Windows,True
T1213.002,Sharepoint,Collection,Office Suite; Windows,True
T1006,Direct Volume Access,Stealth,Network Devices; Windows,False
T1588.007,Artificial Intelligence,Resource Development,PRE,True
T1666,Modify Cloud Resource Hierarchy,Defense Impairment,IaaS,False
T1564.008,Email Hiding Rules,Stealth,Windows; Linux; macOS; Office Suite,True
T1491.002,External Defacement,Impact,Windows; IaaS; Linux; macOS,True
T1027.013,Encrypted/Encoded File,Stealth,Linux; macOS; Windows,True
T1590.005,IP Addresses,Reconnaissance,PRE,True
T1499.001,OS Exhaustion Flood,Impact,Linux; macOS; Windows,True
T1014,Rootkit,Stealth,Linux; macOS; Windows,False
T1546.013,PowerShell Profile,Persistence; Privilege Escalation,Windows,True
T1059.007,JavaScript,Execution,Linux; macOS; Windows,True
T1685.003,Modify or Spoof Tool UI,Defense Impairment,Linux; macOS; Windows,True
T1590.002,DNS,Reconnaissance,PRE,True
T1485.001,Lifecycle-Triggered Deletion,Impact,IaaS,True
T1123,Audio Capture,Collection,Linux; macOS; Windows,False
T1543,Create or Modify System Process,Persistence; Privilege Escalation,Containers; Linux; macOS; Windows,False
T1133,External Remote Services,Initial Access; Persistence,Containers; Linux; macOS; Windows,False
T1546.006,LC_LOAD_DYLIB Addition,Persistence; Privilege Escalation,macOS,True
T1539,Steal Web Session Cookie,Credential Access,Linux; macOS; Office Suite; SaaS; Windows,False
T1053.007,Container Orchestration Job,Execution; Persistence; Privilege Escalation,Containers,True
T1568.002,Domain Generation Algorithms,Command And Control,ESXi; Linux; macOS; Windows,True
T1036.007,Double File Extension,Stealth,Windows,True
T1548.002,Bypass User Account Control,Privilege Escalation,Windows,True
T1496.003,SMS Pumping,Impact,SaaS,True
T1016.001,Internet Connection Discovery,Discovery,Windows; Linux; macOS; ESXi,True
T1548.003,Sudo and Sudo Caching,Privilege Escalation,Linux; macOS,True
T1685.001,Disable or Modify Windows Event Log,Defense Impairment,Windows,True
